8,old beer,removed ,shitty
9,Berliner Weisse Cranberry-Quince 4.1 abv,"North Coast Brewing Company (Fort Bragg, CA) ", Sour - Berliner Weisse
10,Big Bad Baptista 11.7 abv,"Epic Brewing Co. (Utah, Colorado) (Salt Lake City, UT) ", Stout - American Imperial / Double
11,Black Chocolate Stout 10 abv,"Brooklyn Brewery (Brooklyn, NY) ", Stout - Russian Imperial
12,Breakfast Stout 8.3 abv,"Founders Brewing Co. (Grand Rapids, MI) ", Stout - Oatmeal
13,Brown Shugga' 10 abv,"Lagunitas Brewing Company (Petaluma, CA) ", Strong Ale - American
14,Bud Light 4.2 abv,"Anheuser-Busch (St. Louis, MO) ", Lager - American Light
15,Christmas Ale 7.5 abv,"Great Lakes Brewing Company (Cleveland, OH) ", Winter Ale
16,Coors Light 4.2 abv,"Coors Brewing Company (Golden, CO) ", Lager - American Light
17,Crisp Apple 5 abv,"Angry Orchard Cider Company (Walden, NY) ", Cider - Sweet
18,Dale's Pale Ale 6.5 abv,"Oskar Blues Brewery (Longmont, CO) ", Pale Ale - American
19,Delirium Noël / Christmas 10 abv,"Huyghe Brewery (Melle, Oost-Vlaanderen) ", Winter Ale
20,Delirium Red 8 abv,"Huyghe Brewery (Melle, Oost-Vlaanderen) ", Fruit Beer
21,Fairy Basslet 9.5 abv,"Pipeworks Brewing Company (Chicago, IL) ", IPA - Imperial / Double
22,Firestone Lager 4.5 abv,"Firestone Walker Brewing Company (Paso Robles, CA) ", Lager - Helles
23,Foggy Geezer 6.8 abv,WarPigs Brewpub (Copenhagen) , IPA - New England
24,Fun Size 6.1 abv,"Pollyanna Brewing Company (Lemont, IL) ", Stout - Milk / Sweet
25,Guinness Draught 4.2 abv,"Guinness (St. James's Gate, Dublin) ", Stout - Irish Dry
26,Harp Premium Lager 4.5 abv,"Guinness (St. James's Gate, Dublin) ", Lager - Euro
27,Heineken 5 abv,"Heineken (Zoeterwoude, Zuid Holland) ", Lager - Euro
28,Hofbräu Münchner Weisse / Münchner Kindl / Hefe Weizen 5.1 abv,Staatliches Hofbräuhaus München (München) , Hefeweizen
29,Kidnapped by Vikings 6 abv,"Solemn Oath Brewery (Naperville, IL) ", IPA - American
30,Krombacher Dark 4.7 abv,"Krombacher Gruppe (Kreuztal, Nordrhein-Westfalen) ", Schwarzbier
31,Mad Cow 7.9 abv,"Revolution Brewing Company (Chicago, IL) ", Stout - Milk / Sweet
32,Miller Lite 4.2 abv,"Miller Brewing Company (Milwaukee, WI) ", Lager - American Light
33,Modelo Especial 4.5 abv,"Grupo Modelo (Mexico City, Distrito Federal) ", Lager - North American Adjunct
34,Movembeer 2018 9 abv,"Pollyanna Brewing Company (Lemont, IL) ", Stout - Imperial Oatmeal
35,Nitro Chocolate Camaro 6 abv,"Half Acre Beer Company (Chicago, IL) ", Stout - Milk / Sweet
36,Ohio City Oatmeal Stout 5.4 abv,"Great Lakes Brewing Company (Cleveland, OH) ", Stout - Oatmeal
37,Parka Porter 5.3 abv,"Goose Island Beer Co. (Chicago, IL) ", Porter - American
38,Permanent Funeral 10.5 abv,"3 Floyds Brewing Company (Munster, IN) ", IPA - Imperial / Double
39,Pseudo Sue 6.8 abv,"Toppling Goliath Brewing Co. (Decorah, IA) ", Pale Ale - American
40,Sam ‘76 4.7 abv,"Boston Beer Company (Boston, MA) ", Lager - American Light
41,Samuel Adams Boston Lager 5 abv,"Boston Beer Company (Boston, MA) ", Lager - Vienna
42,Samuel Adams Winter Lager 5.6 abv,"Boston Beer Company (Boston, MA) ", Lager - Winter
43,Smithwick's 4.5 abv,"Guinness (St. James's Gate, Dublin) ", Red Ale - Irish
44,Sosus 7.8 abv,"Toppling Goliath Brewing Co. (Decorah, IA) ", IPA - Imperial / Double
45,Stella Artois 5 abv,"Stella Artois (Leuven, Vlaams-Brabant) ", Lager - Euro
46,Thai Speedway Stout 12 abv,"AleSmith Brewing Company (San Diego, CA) ", Stout - American Imperial / Double
47,Tooth And Claw 5 abv,"Off Color Brewing (Chicago, IL) ", Lager - Pale
48,White 5.2 abv,"Allagash Brewing Company (Portland, ME) ", Witbier
50,Zombie Dust 6.2 abv,"3 Floyds Brewing Company (Munster, IN) ", Pale Ale - American